wall_type,wall_ext_rigid_in,roof_type,roof_deck_rigid_in,window_rsi,window_shgc,slab_rsi,furnace_efficiency_pct,eui_kwh_m2_yr,tedi_kwh_m2_yr,heating_demand_kwh_yr,peak_heating_load_w,peak_cooling_load_w,error
WA2,1.92,RA2,3.24,0.625,0.304,2.189,92.0,53.97036066406574,34.134284692932724,3179.6158878214706,5781.801269531,3318.728759766,
WA1,2.45,RA2,3.26,0.874,0.293,1.463,95.4,55.102025021629856,36.239281900354065,3539.571942831658,5979.724609375,3335.568603516,
WA1,2.86,RA2,5.66,0.769,0.375,2.713,94.2,53.34993495289973,33.57335586085845,2982.2751218302647,5730.125976563,3318.735595703,
WA1,1.32,RA2,2.62,0.526,0.351,2.15,86.9,56.94002557017842,36.83011296272869,4124.192440243799,6155.263671875,3375.542724609,
WA1,5.52,RA2,5.88,0.981,0.608,1.919,91.3,52.393829400131615,32.2267222677548,2678.1646071425316,5483.219726563,3272.245361328,
WA1,0.81,RA2,2.77,0.545,0.371,0.911,85.6,59.58526747935306,39.77453692600168,4966.146922306251,6432.363769531,3398.315673828,
WA2,4.51,RA2,4.99,0.727,0.237,0.401,89.2,54.74305860266592,35.231530410489036,3425.3941541292043,5703.150390625,3270.539794922,
WA2,3.9,RA1,4.69,1.087,0.539,2.866,83.4,53.018062915569736,31.769944707991147,2876.7154970235947,5496.833984375,3281.266357422,
WA1,1.43,RA1,2.84,0.603,0.626,1.582,84.4,57.82158409361033,37.52253432124241,4404.592831301452,6198.929199219,3373.326416016,
WA2,3.64,RA1,5.78,1.147,0.55,0.784,85.3,54.764442942420445,34.574893012523546,3432.1948269124227,5686.698730469,3282.147216797,
WA1,3.45,RA2,5.45,0.838,0.624,0.876,90.1,54.98620844711455,35.48884918130321,3502.7332928021865,5823.020507813,3306.160400391,
WA1,4.18,RA1,1.81,1.116,0.562,2.46,89.6,53.80783434653158,33.48209614454411,3127.9223658356714,5728.951660156,3308.328857422,
WA1,3.2,RA2,3.97,0.562,0.491,0.384,87.1,56.9445029892168,37.39761155530392,4125.616051356048,6002.471679688,3315.112060547,
WA2,2.6,RA1,2.17,1.302,0.407,0.755,83.0,56.610662086843924,36.16145753267206,4019.430884326656,5923.676757813,3312.123291016,
WA2,2.79,RA2,4.95,1.033,0.345,1.001,95.9,53.830344704182245,34.8265031806731,3135.081111396954,5746.463867188,3296.054443359,
WA2,1.46,RA2,2.79,1.049,0.371,0.426,94.5,56.52231967549786,38.03587575650996,3991.3321970819547,6108.344726563,3331.862060547,
WA1,1.27,RA2,4.79,0.806,0.596,2.208,84.7,56.91003618965881,36.477178053654555,4114.6535949583895,6099.78125,3370.874755859,
WA1,0.51,RA1,4.32,0.94,0.541,2.18,91.0,57.769267582852834,38.459317651334715,4388.524851566375,6377.356933594,3412.229736328,
WA2,4.76,RA2,0.56,0.699,0.511,1.161,89.9,54.218834106376924,34.34957179844569,3258.6501762180314,5726.11328125,3286.082763672,
WA2,2.55,RA2,4.48,0.798,0.516,1.068,84.3,55.34471513127117,35.00741234242165,3616.763783171189,5779.364257813,3301.707275391,
WA1,1.89,RA1,4.46,1.356,0.511,0.858,92.6,56.54042257409647,37.645952140973286,3997.088219308782,6126.634765625,3350.947998047,
WA2,5.88,RA2,5.0,0.767,0.362,1.151,92.0,52.59416725588444,32.77548275363033,2741.884496637952,5475.1640625,3255.980224609,
WA1,0.27,RA2,0.33,0.763,0.625,2.04,92.8,59.16724176896451,40.25316087983836,4833.186852755439,6643.161132813,3443.960693359,
WA1,3.44,RA1,2.82,0.896,0.283,0.486,96.0,55.631656400730854,37.14056590693493,3708.032772133093,6004.116699219,3316.896728516,
